Data,Ultimo
2015.06.12,3.107
2015.06.05,3.144
2015.05.29,3.146
2015.05.22,3.036
2015.05.15,3.022
2015.05.08,3.034
2015.05.01,2.968
2015.04.24,3
2015.04.17,3.055
2015.04.10,3.087
2015.04.03,3.166
2015.03.27,3.181
2015.03.20,3.243
2015.03.13,3.153
2015.03.06,2.973
2015.02.27,2.866
2015.02.20,2.847
2015.02.13,2.825
2015.02.06,2.738
2015.01.30,2.603
2015.01.23,2.604
2015.01.16,2.639
2015.01.09,2.676
2014.12.31,2.523
2014.12.26,2.683
2014.12.19,2.694
2014.12.12,2.622
2014.12.05,2.572
2014.11.28,2.534
2014.11.21,2.57
2014.11.14,2.573
2014.11.07,2.525
2014.10.31,2.465
2014.10.24,2.481
2014.10.17,2.432
2014.10.10,2.404
2014.10.03,2.465
2014.09.26,2.408
2014.09.19,2.353
2014.09.12,2.296
2014.09.05,2.241
2014.08.29,2.254
2014.08.22,2.262
2014.08.15,2.271
2014.08.08,2.278
2014.08.01,2.243
2014.07.25,2.22
2014.07.18,2.227
2014.07.11,2.217
2014.07.04,2.212
2014.06.27,2.208
2014.06.20,2.235
2014.06.13,2.227
2014.06.06,2.268
2014.05.30,2.232
2014.05.23,2.213
2014.05.16,2.213
2014.05.09,2.223
2014.05.02,2.229
2014.04.25,2.23
2014.04.18,2.233
2014.04.11,2.206
2014.04.04,2.263
2014.03.28,2.291
2014.03.21,2.336
2014.03.14,2.355
2014.03.07,2.333
2014.02.28,2.338
2014.02.21,2.379
2014.02.14,2.403
2014.02.07,2.401
2014.01.31,2.421
2014.01.24,2.373
2014.01.17,2.355
2014.01.10,2.378
2013.12.31,2.149
2013.12.27,2.352
2013.12.20,2.342
2013.12.13,2.326
2013.12.06,2.362
2013.11.29,2.312
2013.11.22,2.278
2013.11.15,2.326
2013.11.08,2.286
2013.11.01,2.209
2013.10.25,2.185
2013.10.18,2.172
2013.10.11,2.195
2013.10.04,2.208
2013.09.27,2.226
2013.09.20,2.227
2013.09.13,2.278
2013.09.06,2.345
2013.08.30,2.368
2013.08.23,2.408
2013.08.16,2.331
2013.08.09,2.295
2013.08.02,2.284
2013.07.26,2.239
2013.07.19,2.234
2013.07.12,2.261
2013.07.05,2.25
2013.06.28,2.211
2013.06.21,2.215
2013.06.14,2.141
2013.06.07,2.128
2013.05.31,2.098
2013.05.24,2.045
2013.05.17,2.022
2013.05.10,2.011
2013.05.03,2.006
2013.04.26,2.011
2013.04.19,2.003
2013.04.12,1.978
2013.04.05,2.012
2013.03.29,2.017
2013.03.22,1.995
2013.03.15,1.969
2013.03.08,1.962
2013.03.01,1.979
2013.02.22,1.965
2013.02.15,1.966
2013.02.08,1.982
2013.02.01,1.99
2013.01.25,2.036
2013.01.18,2.037
2013.01.11,2.033
2012.12.31,1.88
2012.12.28,2.059
2012.12.21,2.081
2012.12.14,2.079
2012.12.07,2.095
2012.11.30,2.098
2012.11.23,2.088
2012.11.16,2.065
2012.11.09,2.037
2012.11.02,2.031
2012.10.26,2.025
2012.10.19,2.031
2012.10.12,2.039
2012.10.05,2.024
2012.09.28,2.029
2012.09.21,2.024
2012.09.14,2.019
2012.09.07,2.034
2012.08.31,2.041
2012.08.24,2.019
2012.08.17,2.02
2012.08.10,2.021
2012.08.03,2.043
2012.07.27,2.032
2012.07.20,2.023
2012.07.13,2.034
2012.07.06,2.015
2012.06.29,2.059
2012.06.22,2.049
2012.06.15,2.062
2012.06.08,2.033
2012.06.01,2.01
2012.05.25,2.035
2012.05.18,2.006
2012.05.11,1.949
2012.05.04,1.914
2012.04.27,1.882
2012.04.20,1.868
2012.04.13,1.83
2012.04.06,1.825
2012.03.30,1.822
2012.03.23,1.817
2012.03.16,1.799
2012.03.09,1.763
2012.03.02,1.713
2012.02.24,1.712
2012.02.17,1.719
2012.02.10,1.722
2012.02.03,1.733
2012.01.27,1.752
2012.01.20,1.771
2012.01.13,1.799
2011.12.30,1.864
2011.12.23,1.857
2011.12.16,1.86
2011.12.09,1.799
2011.12.02,1.819
2011.11.25,1.856
2011.11.18,1.774
2011.11.11,1.752
2011.11.04,1.737
2011.10.28,1.731
2011.10.21,1.771
2011.10.14,1.759
2011.10.07,1.826
2011.09.30,1.837
2011.09.23,1.841
2011.09.16,1.713
2011.09.09,1.657
2011.09.02,1.607
2011.08.26,1.606
2011.08.19,1.593
2011.08.12,1.615
2011.08.05,1.571
2011.07.29,1.549
2011.07.22,1.562
2011.07.15,1.576
2011.07.08,1.561
2011.07.01,1.571
2011.06.24,1.593
2011.06.17,1.593
2011.06.10,1.585
2011.06.03,1.582
2011.05.27,1.619
2011.05.20,1.619
2011.05.13,1.618
2011.05.06,1.605
2011.04.29,1.571
2011.04.22,1.571
2011.04.15,1.583
2011.04.08,1.597
2011.04.01,1.639
2011.03.25,1.661
2011.03.18,1.668
2011.03.11,1.657
2011.03.04,1.657
2011.02.25,1.668
2011.02.18,1.666
2011.02.11,1.667
2011.02.04,1.668
2011.01.28,1.673
2011.01.21,1.675
2011.01.14,1.68
2011.01.07,1.67
2010.12.31,1.686
2010.12.24,1.696
2010.12.17,1.703
2010.12.10,1.692
2010.12.03,1.704
2010.11.26,1.725
2010.11.19,1.723
2010.11.12,1.709
2010.11.05,1.689
2010.10.29,1.705
2010.10.22,1.686
2010.10.15,1.663
2010.10.08,1.677
2010.10.01,1.699
2010.09.24,1.718
2010.09.17,1.715
2010.09.10,1.725
2010.09.03,1.743
2010.08.27,1.763
2010.08.20,1.755
2010.08.13,1.763
2010.08.06,1.754
2010.07.30,1.762
2010.07.23,1.775
2010.07.16,1.764
2010.07.09,1.768
2010.07.02,1.791
2010.06.25,1.781
2010.06.18,1.786
2010.06.11,1.839
2010.06.04,1.834
2010.05.28,1.843
2010.05.21,1.836
2010.05.14,1.781
2010.05.07,1.795
2010.04.30,1.746
2010.04.23,1.756
2010.04.16,1.75
2010.04.09,1.768
2010.04.02,1.779
2010.03.26,1.8
2010.03.19,1.778
2010.03.12,1.771
2010.03.05,1.788
2010.02.26,1.818
2010.02.19,1.831
2010.02.12,1.856
2010.02.05,1.858
2010.01.29,1.853
2010.01.22,1.788
2010.01.15,1.754
2010.01.08,1.731
